абажур|lampshade, shade
вафля|wafer, waffle
вахтёр|janitor, porter
Ваш|your, yours
Вашингтон|Washington
вбивание|insertion
вбрасывание|throw-in
ввалившийся|hollow, sunken
введение|inauguration, insertion, introduction
вверх|uphill, upwards
вводить|enact, inaugurate, inject, input, introduce
вглубь|inland
вдаль|distance
вдвое|twofold
вдвойне|doubly
вдобавок|addition
вдова|widow
вдовец|widower
вдоль|along, alongside, lengthways
вдох|breath
вдохновение|inspiration
вдохновенный|inspired
вдохновлённый|inspired
вдохновлять|inspire
вдохновляющий|inspiring, stimulating
вдыхать|inhale
вегетарианский|vegetarian
вегетативный|vegetative
ведение|handling
ведро|pail
ведущая|hostess
ведущий|anchor man, compere, entertainer, leading, presenter, showman
ведьма|hag, witch
веер|fan
вежливо|politely
вежливость|courtesy, politeness
вежливый|courteous, polite
вездесущий|ubiquitous
вездеход|ATV
везение|fluke
Везувий|Vesuvius
веко|eyelid, lid
вексель|bill
веление|dictate
велик|bike
великан|giant
великий|great
Великобритания|Great Britain
великодушие|generosity
великодушный|big-hearted, forgiving, generous, magnanimous
великолепие|grandeur, magnificence, splendour
великолепно|famously
великолепный|brilliant, glorious, magnificent, splendid, superb, tremendous
великосветский|posh
величавый|noble
величайший|supreme
величественность|majesty
величественный|august, grand, majestic, stately
величие|greatness
величина|enormity, magnitude
Веллингтон|Wellington
велогонка|cycle race
велосипед|bicycle, push-bike
велосипедист|cyclist
велотрек|bicycle track
вельвет|corduroy
велюр|velour
вена|vein
Вена|Vienna
венгр|Hungarian
Венгрия|Hungary
вендетта|vendetta
Венера|Venus
Венесуэла|Venezuela
венесуэлец|Venezuelan
венецианец|Venetian
Венеция|Venice
венок|wreath
вентилятор|fan, ventilator
вентиляция|ventilation
венчание|wedding
венчик|beater
вера|belief, faith
веранда|porch, veranda(h)
верблюд|camel
вербовать|enlist, recruit
вербовка|recruitment
верёвка|line, string
вереница|string
вереск|heather
верить|believe
вермишель|noodles
вермут|vermouth
верно|faithfully
верность|allegiance, fidelity, loyalty
верный|faithful, hard-core, loyal, sure-fire
вероисповедание|persuasion
вероломный|treacherous
вероучение|creed
вероятно|probably
вероятность|likelihood, probability
вероятный|likely, probable
версия|version
верстак|bench, workbench
вертел|skewer, spit
вертеться|swivel
вертикаль|vertical
вертикально|vertically
вертодром|heliport
вертолёт|chopper, helicopter
верующий|believer, practising
верфь|shipyard
верх|height, top, upper
верхний|overhead, top
Верховный|supreme
верховный|supremo
верхолаз|steeplejack
верхом|astride, horseback
верхушка|top
вершина|apex, height, hilltop, pinnacle, top
веселиться|celebrate, fun, rollicking
весело|gaily, merrily
весёлость|cheerfulness
весёлый|cheerful, gay, happy, hearty, jocular, merry, swinging
веселье|frolic, gaiety, merriment, mirth
весить|weigh
веский|powerful, valid, watertight
вескость|validity
весло|oar, scull
весна|spring
веснушка|freckle
веснушчатый|freckled
весомый|heavily, weighty
вестерн|western
вести|dribble, host, keep, lead, prosecute, race, transact
вестибюль|concourse, lobby
Вестминстер|Westminster
вестник|bearer
Весы|Libra
весы|scale
весь|all, entire
весьма|eminently
